Time,Force_X,Force_Y,Ref_X,Force_X_Trajectory_1,Force_Y_Trajectory_1,Ref_X_Trajectory_1,Trajectory,Force_X_Negative,Force_Y_Positive
38.18,0.030903983839478896,0.055955605516164554,598.5864890356285,0.030903983839478896,0.055955605516164554,598.5864890356285,1.0,,0.055955605516164554
38.2,0.030258543954866123,0.05670857791179182,598.558095272765,0.030258543954866123,0.05670857791179182,598.558095272765,1.0,,0.05670857791179182
38.22,0.02828038437242682,0.05743179149081335,598.4702042635435,0.02828038437242682,0.05743179149081335,598.4702042635435,1.0,,0.05743179149081335
38.24,0.025342545777738118,0.058251979170845014,598.4093015250187,0.025342545777738118,0.058251979170845014,598.4093015250187,1.0,,0.058251979170845014
38.26,0.02220896677396554,0.05899551752727234,598.3465039935485,0.02220896677396554,0.05899551752727234,598.3465039935485,1.0,,0.05899551752727234
38.28,0.019859447392777483,0.059253783898937415,598.3143817283192,0.019859447392777483,0.059253783898937415,598.3143817283192,1.0,,0.059253783898937415
38.3,0.01897304772888602,0.05897795809871457,598.2150580653424,0.01897304772888602,0.05897795809871457,598.2150580653424,1.0,,0.05897795809871457
38.32,0.019195831396599597,0.0586375822926234,598.1463252643308,0.019195831396599597,0.0586375822926234,598.1463252643308,1.0,,0.0586375822926234
38.34,0.019366342079278974,0.05870241037489723,598.1111877143569,0.019366342079278974,0.05870241037489723,598.1111877143569,1.0,,0.05870241037489723
38.36,0.01886421611502265,0.059057618456193735,597.9653700864566,0.01886421611502265,0.059057618456193735,597.9653700864566,1.0,,0.059057618456193735
38.38,0.01851524396061277,0.05933829641926401,597.9275714475552,0.01851524396061277,0.05933829641926401,597.9275714475552,1.0,,0.05933829641926401
38.4,0.01958319908451431,0.05966904234763376,597.8503223744601,0.01958319908451431,0.05966904234763376,597.8503223744601,1.0,,0.05966904234763376
38.42,0.022372786495793665,0.06041980465602136,597.7302352716698,0.022372786495793665,0.06041980465602136,597.7302352716698,1.0,,0.06041980465602136
38.44,0.026527660186585575,0.06130397947270165,597.647302230724,0.026527660186585575,0.06130397947270165,597.647302230724,1.0,,0.06130397947270165
38.46,0.03131382924419095,0.06172331426811682,597.6049560899402,0.03131382924419095,0.06172331426811682,597.6049560899402,1.0,,0.06172331426811682
38.48,0.035630061560212645,0.06192041368130685,597.4743299464411,0.035630061560212645,0.06192041368130685,597.4743299464411,1.0,,0.06192041368130685
38.5,0.038734860117216705,0.06265378124170937,597.4295726031722,0.038734860117216705,0.06265378124170937,597.4295726031722,1.0,,0.06265378124170937
38.52,0.040470285805939005,0.06393773510506318,597.2915725197864,0.040470285805939005,0.06393773510506318,597.2915725197864,1.0,,0.06393773510506318
38.54,0.04109255323834722,0.0651114283315873,597.244310070415,0.04109255323834722,0.0651114283315873,597.244310070415,1.0,,0.0651114283315873
38.56,0.041222298831585145,0.0658489939091523,597.0986518433359,0.041222298831585145,0.0658489939091523,597.0986518433359,1.0,,0.0658489939091523
38.58,0.04149261858767233,0.06616458747201297,596.9982603315336,0.04149261858767233,0.06616458747201297,596.9982603315336,1.0,,0.06616458747201297
38.6,0.04210989263353977,0.06585577282470148,596.9470605478376,0.04210989263353977,0.06585577282470148,596.9470605478376,1.0,,0.06585577282470148
38.62,0.042695689842723414,0.06465274978629618,596.8426223117508,0.042695689842723414,0.06465274978629618,596.8426223117508,1.0,,0.06465274978629618
38.64,0.04232902513604397,0.06281752912911087,596.6807757171972,0.04232902513604397,0.06281752912911087,596.6807757171972,1.0,,0.06281752912911087
38.66,0.04001415850114855,0.06102006694403628,596.569345937147,0.04001415850114855,0.06102006694403628,596.569345937147,1.0,,0.06102006694403628
38.68,0.03561722612553891,0.05939789441194947,596.5125526328574,0.03561722612553891,0.05939789441194947,596.5125526328574,1.0,,0.05939789441194947
38.7,0.030099100173477753,0.057442575883685974,596.3967776313966,0.030099100173477753,0.057442575883685974,596.3967776313966,1.0,,0.057442575883685974
38.72,0.02498705245446968,0.05500751791600826,596.2175487694524,0.02498705245446968,0.05500751791600826,596.2175487694524,1.0,,0.05500751791600826
38.74,0.02165491649166089,0.05265158298860881,596.0942772493114,0.02165491649166089,0.05265158298860881,596.0942772493114,1.0,,0.05265158298860881
38.76,0.020362230577101136,0.05097581689202687,596.0314864632179,0.020362230577101136,0.05097581689202687,596.0314864632179,1.0,,0.05097581689202687
38.78,0.020221693142620404,0.05016613070637371,595.9035623852592,0.020221693142620404,0.05016613070637371,595.9035623852592,1.0,,0.05016613070637371
38.8,0.020117621058504568,0.05022950911461246,595.705722007291,0.020117621058504568,0.05022950911461246,595.705722007291,1.0,,0.05022950911461246
38.82,0.019451210105852785,0.051110029168673146,595.638161133709,0.019451210105852785,0.051110029168673146,595.638161133709,1.0,,0.051110029168673146
38.84,0.018404628486198164,0.05245280890612357,595.5005786033788,0.018404628486198164,0.05245280890612357,595.5005786033788,1.0,,0.05245280890612357
38.86,0.017711559306343536,0.05396623401933583,595.2879530235791,0.017711559306343536,0.05396623401933583,595.2879530235791,1.0,,0.05396623401933583
38.88,0.01794471127405928,0.05589944462791472,595.1419566852203,0.01794471127405928,0.05589944462791472,595.1419566852203,1.0,,0.05589944462791472
38.9,0.01880640079447367,0.058943857251026736,595.067664534809,0.01880640079447367,0.058943857251026736,595.067664534809,1.0,,0.058943857251026736
38.92,0.01965614263370428,0.06352855006057673,594.9164584268359,0.01965614263370428,0.06352855006057673,594.9164584268359,1.0,,0.06352855006057673
38.94,0.020645834704201834,0.0690235374472927,594.6829926731217,0.020645834704201834,0.0690235374472927,594.6829926731217,1.0,,0.0690235374472927
38.96,0.022328778872973236,0.0743434741635528,594.5228313102144,0.022328778872973236,0.0743434741635528,594.5228313102144,1.0,,0.0743434741635528
38.98,0.024591169461740225,0.07879010889912418,594.3589917290178,0.024591169461740225,0.07879010889912418,594.3589917290178,1.0,,0.07879010889912418
39.0,0.026987594887155086,0.08185086479929553,594.1062146116044,0.026987594887155086,0.08185086479929553,594.1062146116044,1.0,,0.08185086479929553
39.02,0.029103363811669888,0.08332054485532962,593.9329368976058,0.029103363811669888,0.08332054485532962,593.9329368976058,1.0,,0.08332054485532962
39.04,0.03058773430609283,0.08339889220059211,593.8448491940724,0.03058773430609283,0.08339889220059211,593.8448491940724,1.0,,0.08339889220059211
39.06,0.031536407024294964,0.08239160414216735,593.6657410202132,0.031536407024294964,0.08239160414216735,593.6657410202132,1.0,,0.08239160414216735
39.08,0.032256042388186294,0.08077951773383588,593.5747064776378,0.032256042388186294,0.08077951773383588,593.5747064776378,1.0,,0.08077951773383588
39.1,0.03287885349594302,0.07920531617791284,593.2005337870302,0.03287885349594302,0.07920531617791284,593.2005337870302,1.0,,0.07920531617791284
39.12,0.033279983525311134,0.07819174148903643,593.1044465344578,0.033279983525311134,0.07819174148903643,593.1044465344578,1.0,,0.07819174148903643
39.14,0.03336629341860994,0.07773346463935796,592.9091693264542,0.03336629341860994,0.07773346463935796,592.9091693264542,1.0,,0.07773346463935796
39.16,0.03346371721035616,0.07705879393076176,592.8099650918751,0.03346371721035616,0.07705879393076176,592.8099650918751,1.0,,0.07705879393076176
39.18,0.03378810675330042,0.07525113041698558,592.5060039490453,0.03378810675330042,0.07525113041698558,592.5060039490453,1.0,,0.07525113041698558
39.2,0.03387638805262015,0.07211604890692627,592.29800100397,0.03387638805262015,0.07211604890692627,592.29800100397,1.0,,0.07211604890692627
39.22,0.033006195674142744,0.06821905225399014,592.0856410885114,0.033006195674142744,0.06821905225399014,592.0856410885114,1.0,,0.06821905225399014
39.24,0.030821601854275127,0.06442945934043798,591.7588054241172,0.030821601854275127,0.06442945934043798,591.7588054241172,1.0,,0.06442945934043798
39.26,0.027528487486003207,0.06169663188496379,591.6476190110203,0.027528487486003207,0.06169663188496379,591.6476190110203,1.0,,0.06169663188496379
39.28,0.023728896755503964,0.060846615712407126,591.3072344988764,0.023728896755503964,0.060846615712407126,591.3072344988764,1.0,,0.060846615712407126
39.3,0.020301862038222988,0.06179477367935759,591.1914736379314,0.020301862038222988,0.06179477367935759,591.1914736379314,1.0,,0.06179477367935759
39.32,0.017977659721736004,0.06344536761966306,590.8371908675041,0.017977659721736004,0.06344536761966306,590.8371908675041,1.0,,0.06344536761966306
39.34,0.016720227525376833,0.06484183654914145,590.5950957770207,0.016720227525376833,0.06484183654914145,590.5950957770207,1.0,,0.06484183654914145
39.36,0.01590186278027953,0.06576933017407076,590.4722543016779,0.01590186278027953,0.06576933017407076,590.4722543016779,1.0,,0.06576933017407076
39.38,0.015061117483209784,0.06652959307128765,590.0964661855044,0.015061117483209784,0.06652959307128765,590.0964661855044,1.0,,0.06652959307128765
39.4,0.014426164747738628,0.06747894424631863,589.8398143007829,0.014426164747738628,0.06747894424631863,589.8398143007829,1.0,,0.06747894424631863
39.42,0.014520803114765144,0.06870527166409572,589.5781926588321,0.014520803114765144,0.06870527166409572,589.5781926588321,1.0,,0.06870527166409572
39.44,0.015396251529303507,0.07070229760385485,589.311542420321,0.015396251529303507,0.07070229760385485,589.311542420321,1.0,,0.07070229760385485
39.46,0.016576026146322188,0.07458640655874853,589.0398047058923,0.016576026146322188,0.07458640655874853,589.0398047058923,1.0,,0.07458640655874853
39.48,0.01736632944412071,0.08023077136850923,588.7629206068325,0.01736632944412071,0.08023077136850923,588.7629206068325,1.0,,0.08023077136850923
39.5,0.017429607911799084,0.0855984224729881,588.4808311958245,0.017429607911799084,0.0855984224729881,588.4808311958245,1.0,,0.0855984224729881
39.52,0.01710121389632163,0.08886493441006961,588.1934775377796,0.01710121389632163,0.08886493441006961,588.1934775377796,1.0,,0.08886493441006961
39.54,0.016962724693413058,0.0894964871626992,587.9008007007476,0.016962724693413058,0.0894964871626992,587.9008007007476,1.0,,0.0894964871626992
39.56,0.017421853653208676,0.08764534301546932,587.4516756084372,0.017421853653208676,0.08764534301546932,587.4516756084372,1.0,,0.08764534301546932
39.58,0.018362123209542332,0.08402186007479437,587.2992418436029,0.018362123209542332,0.08402186007479437,587.2992418436029,1.0,,0.08402186007479437
39.6,0.019254712091706757,0.07977918298021211,586.9902420745198,0.019254712091706757,0.07977918298021211,586.9902420745198,1.0,,0.07977918298021211
39.62,0.019592533213233013,0.07608242230685447,586.6756836508386,0.019592533213233013,0.07608242230685447,586.6756836508386,1.0,,0.07608242230685447
39.64,0.018927535548421155,0.07408333982067072,586.1932950411026,0.018927535548421155,0.07408333982067072,586.1932950411026,1.0,,0.07408333982067072
39.66,0.017126501882526755,0.0747535287326553,586.0296559096505,0.017126501882526755,0.0747535287326553,586.0296559096505,1.0,,0.0747535287326553
39.68,0.014920071809268123,0.07797281870293754,585.6980693137951,0.014920071809268123,0.07797281870293754,585.6980693137951,1.0,,0.07797281870293754
39.7,0.01340549058014727,0.08245673675893654,585.5301072228451,0.01340549058014727,0.08245673675893654,585.5301072228451,1.0,,0.08245673675893654
39.72,0.012977592429169205,0.08656752649366915,585.0174581557293,0.012977592429169205,0.08656752649366915,585.0174581557293,1.0,,0.08656752649366915
39.74,0.013308325337466693,0.08904156738979513,584.6683169075376,0.013308325337466693,0.08904156738979513,584.6683169075376,1.0,,0.08904156738979513
39.76,0.013861159418488658,0.08950236800767782,584.4915119010592,0.013861159418488658,0.08950236800767782,584.4915119010592,1.0,,0.08950236800767782
39.78,0.014254652018309041,0.0882783490891384,583.9520722978459,0.014254652018309041,0.0882783490891384,583.9520722978459,1.0,,0.0882783490891384
39.8,0.01445509224549367,0.08630066366038282,583.584853051331,0.01445509224549367,0.08630066366038282,583.584853051331,1.0,,0.08630066366038282
39.82,0.014714119093748868,0.08462160193204304,583.211492183828,0.014714119093748868,0.08462160193204304,583.211492183828,1.0,,0.08462160193204304
39.84,0.015290241960489653,0.0835555157434804,582.8319321657121,0.015290241960489653,0.0835555157434804,582.8319321657121,1.0,,0.0835555157434804
39.86,0.016159061788560004,0.08282224727275708,582.2508433467914,0.016159061788560004,0.08282224727275708,582.2508433467914,1.0,,0.08282224727275708
39.88,0.016906005139871866,0.08213710917629126,582.0539855031536,0.016906005139871866,0.08213710917629126,582.0539855031536,1.0,,0.08213710917629126
39.9,0.016907207876000762,0.08130613813628852,581.6554847791423,0.016907207876000762,0.08130613813628852,581.6554847791423,1.0,,0.08130613813628852
